GID_2,State,District,Year,Year End,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
IND.11.12_1,Gujarat,Gandhinagar,2000,2001,Kharif,7600.0,17100.0,2.25
IND.11.12_1,Gujarat,Gandhinagar,2001,2002,Kharif,7000.0,17500.0,2.5
IND.11.12_1,Gujarat,Gandhinagar,2002,2003,Kharif,4600.0,9900.0,2.152173913043478
IND.11.12_1,Gujarat,Gandhinagar,2003,2004,Kharif,13100.0,35200.0,2.687022900763359
IND.11.12_1,Gujarat,Gandhinagar,2004,2005,Kharif,13200.0,29100.0,2.2045454545454546
IND.11.12_1,Gujarat,Gandhinagar,2005,2006,Kharif,10000.0,27200.0,2.72
IND.11.12_1,Gujarat,Gandhinagar,2006,2007,Kharif,11300.0,25600.0,2.265486725663717
IND.11.12_1,Gujarat,Gandhinagar,2007,2008,Kharif,12800.0,32000.0,2.5
IND.11.12_1,Gujarat,Gandhinagar,2008,2009,Kharif,12800.0,26900.0,2.1015625
IND.11.12_1,Gujarat,Gandhinagar,2009,2010,Kharif,10600.0,22200.0,2.0943396226415096
IND.11.12_1,Gujarat,Gandhinagar,2010,2011,Kharif,16000.0,36900.0,2.30625
IND.11.12_1,Gujarat,Gandhinagar,2011,2012,Kharif,8800.0,20100.0,2.284090909090909
IND.11.12_1,Gujarat,Gandhinagar,2012,2013,Kharif,3500.0,8100.0,2.3142857142857145
IND.11.12_1,Gujarat,Gandhinagar,2013,2014,Kharif,9971.0,23495.0,2.3563333667636144
IND.11.12_1,Gujarat,Gandhinagar,2014,2015,Kharif,8414.0,19160.0,2.2771571190872355
IND.11.12_1,Gujarat,Gandhinagar,2015,2016,Kharif,10838.0,22262.0,2.0540690164236945
IND.11.12_1,Gujarat,Gandhinagar,2016,2017,Kharif,9184.0,11463.0,1.2481489547038327
IND.11.12_1,Gujarat,Gandhinagar,2017,2018,Kharif,9901.0,12419.0,1.2543177456822543
IND.11.12_1,Gujarat,Gandhinagar,2018,2019,Kharif,11675.0,25055.0,2.1460385438972165
IND.11.12_1,Gujarat,Gandhinagar,2019,2020,Kharif,12126.0,28050.0,2.3132112815437904
IND.11.17_1,Gujarat,Kheda,2000,2001,Kharif,112500.0,73400.0,0.6524444444444445
IND.11.17_1,Gujarat,Kheda,2001,2002,Kharif,171800.0,308400.0,1.7951105937136205
IND.11.17_1,Gujarat,Kheda,2002,2003,Kharif,71200.0,93500.0,1.3132022471910112
IND.11.17_1,Gujarat,Kheda,2003,2004,Kharif,98800.0,198900.0,2.013157894736842
IND.11.17_1,Gujarat,Kheda,2004,2005,Kharif,99400.0,223900.0,2.2525150905432594
IND.11.17_1,Gujarat,Kheda,2005,2006,Kharif,89700.0,218500.0,2.4358974358974357
IND.11.17_1,Gujarat,Kheda,2006,2007,Kharif,92400.0,169300.0,1.8322510822510822
IND.11.17_1,Gujarat,Kheda,2007,2008,Kharif,99800.0,237400.0,2.37875751503006
IND.11.17_1,Gujarat,Kheda,2008,2009,Kharif,101100.0,211600.0,2.09297725024728
IND.11.17_1,Gujarat,Kheda,2009,2010,Kharif,87100.0,201300.0,2.3111366245694605
IND.11.17_1,Gujarat,Kheda,2010,2011,Kharif,87300.0,210500.0,2.411225658648339
IND.11.17_1,Gujarat,Kheda,2011,2012,Kharif,97500.0,212700.0,2.1815384615384614
IND.11.17_1,Gujarat,Kheda,2012,2013,Kharif,81700.0,194500.0,2.3806609547123623
IND.11.17_1,Gujarat,Kheda,2013,2014,Kharif,108800.0,252848.0,2.323970588235294
IND.11.17_1,Gujarat,Kheda,2014,2015,Kharif,98831.0,253080.00000000003,2.5607349920571485
IND.11.17_1,Gujarat,Kheda,2015,2016,Kharif,100519.0,249813.0,2.485231647748187
IND.11.17_1,Gujarat,Kheda,2016,2017,Kharif,102915.00000000001,265985.0,2.584511490064616
IND.11.17_1,Gujarat,Kheda,2017,2018,Kharif,108375.0,279398.0,2.578066897347174
IND.11.17_1,Gujarat,Kheda,2018,2019,Kharif,112873.0,359556.0,3.185491658766933
IND.11.17_1,Gujarat,Kheda,2019,2020,Kharif,115129.0,309651.0,2.689600361333808
IND.11.18_1,Gujarat,Mahesana,2000,2001,Kharif,10200.0,7100.0,0.696078431372549
IND.11.18_1,Gujarat,Mahesana,2001,2002,Kharif,12600.0,23600.0,1.873015873015873
IND.11.18_1,Gujarat,Mahesana,2002,2003,Kharif,3700.0,5300.0,1.4324324324324325
IND.11.18_1,Gujarat,Mahesana,2003,2004,Kharif,7200.0,9700.0,1.3472222222222223
IND.11.18_1,Gujarat,Mahesana,2004,2005,Kharif,4500.0,10900.0,2.422222222222222
IND.11.18_1,Gujarat,Mahesana,2005,2006,Kharif,6000.0,13600.0,2.2666666666666666
IND.11.18_1,Gujarat,Mahesana,2006,2007,Kharif,8100.0,16700.0,2.0617283950617282
IND.11.18_1,Gujarat,Mahesana,2007,2008,Kharif,8300.0,19100.0,2.3012048192771086
IND.11.18_1,Gujarat,Mahesana,2008,2009,Kharif,5900.0,12100.0,2.0508474576271185
IND.11.18_1,Gujarat,Mahesana,2009,2010,Kharif,6200.0,15700.0,2.532258064516129
IND.11.18_1,Gujarat,Mahesana,2010,2011,Kharif,8200.0,17400.0,2.1219512195121952
IND.11.18_1,Gujarat,Mahesana,2011,2012,Kharif,5400.0,9700.0,1.7962962962962963
IND.11.18_1,Gujarat,Mahesana,2012,2013,Kharif,1400.0,3200.0,2.2857142857142856
IND.11.18_1,Gujarat,Mahesana,2013,2014,Kharif,4970.0,9973.0,2.006639839034205
IND.11.18_1,Gujarat,Mahesana,2014,2015,Kharif,6815.000000000001,18047.0,2.648129126925898
IND.11.18_1,Gujarat,Mahesana,2015,2016,Kharif,7095.0,17046.0,2.4025369978858353
IND.11.18_1,Gujarat,Mahesana,2016,2017,Kharif,4638.0,10967.0,2.364596808969383
IND.11.18_1,Gujarat,Mahesana,2017,2018,Kharif,7043.000000000001,16828.0,2.38932273179043
IND.11.18_1,Gujarat,Mahesana,2018,2019,Kharif,3010.0,7370.999999999999,2.4488372093023254
IND.11.18_1,Gujarat,Mahesana,2019,2020,Kharif,4029.9999999999995,7853.0,1.9486352357320103
IND.11.1_1,Gujarat,Ahmadabad,2000,2001,Kharif,84100.0,37500.0,0.44589774078478
IND.11.1_1,Gujarat,Ahmadabad,2001,2002,Kharif,82000.0,144300.0,1.7597560975609756
IND.11.1_1,Gujarat,Ahmadabad,2002,2003,Kharif,47500.0,39300.0,0.8273684210526315
IND.11.1_1,Gujarat,Ahmadabad,2003,2004,Kharif,83200.0,197600.0,2.375
